x_utm,y_utm,ba_ppm,co_ppm,cr_ppm,cu_ppm,fe2o3_pct,ni_ppm,p_ppm,pb_ppm,v_ppm,y_ppm,zn_ppm
767337,6204126,329,15,36,17,3.89,17,382,15,64,12,64
767432,6203544,476,11,33,19,4.20,28,151,18,70,16,58
767247,6202010,374,26,43,40,5.28,24,146,19,86,14,67
754515,6193357,388,16,31,16,3.72,32,207,14,57,15,55
754223,6193687,370,22,51,26,3.10,24,187,11,46,12,48
753905,6194195,523,26,29,25,4.48,16,331,13,54,21,70
753804,6195078,479,13,42,19,4.43,14,309,19,50,17,73
756286,6193141,416,19,42,25,4.56,22,271,19,61,29,52
756045,6193192,445,11,33,24,2.86,18,235,16,46,19,44
755569,6192843,304,11,44,23,2.13,20,233,13,43,9,31
755036,6192386,422,12,43,19,2.36,22,178,13,50,12,34
753378,6196024,395,11,41,23,5.58,20,318,12,80,15,57
751835,6196475,553,21,47,25,5.79,28,552,12,69,23,98
751460,6196247,556,14,36,17,7.66,18,499,17,115,25,123
752026,6196037,800,27,20,14,6.11,34,1793,12,81,26,85
752432,6196266,521,13,41,19,4.32,21,348,17,68,21,71
752305,6195872,541,11,47,25,5.39,19,287,12,78,18,74
752864,6195605,420,21,41,28,4.26,27,247,14,71,15,39
757791,6195192,409,13,40,24,2.56,19,195,19,44,14,38
758001,6192957,332,27,29,16,1.66,11,216,15,29,11,33
757874,6192595,340,27,41,20,1.69,18,183,11,32,9,31
758293,6192570,339,11,49,18,1.47,20,215,15,27,10,27
758534,6194297,355,17,42,25,2.07,27,195,16,40,9,31
759315,6194615,367,15,70,25,1.89,32,240,13,38,13,33
758852,6196113,397,14,35,24,3.65,19,274,14,56,16,45
758572,6196100,371,24,46,39,3.26,39,244,26,55,17,61
758122,6197536,430,13,41,23,4.40,18,284,15,61,19,64
758420,6197040,403,19,40,22,5.73,20,386,13,80,28,88
758769,6197294,440,11,56,22,6.11,21,358,14,65,20,75
758903,6196894,432,11,40,29,2.56,25,237,19,40,16,40
758261,6198545,476,12,43,30,4.52,22,363,11,50,26,59
758496,6198183,409,17,51,29,6.19,32,308,14,67,22,69
757842,6198545,493,12,35,22,5.85,20,573,16,63,27,68
751967,6192945,491,13,50,27,5.00,27,277,19,84,25,72
752488,6193028,508,14,39,22,5.35,18,354,19,68,20,70
752380,6193263,497,12,31,18,3.92,14,263,19,71,21,60
751510,6193593,439,28,53,28,6.99,23,295,13,125,26,81
751535,6194050,508,17,37,27,8.81,20,549,13,105,30,98
753497,6197276,564,14,33,18,3.80,16,313,23,59,15,56
753421,6198235,541,13,49,28,4.60,27,297,11,61,21,75
754437,6200203,348,15,42,19,8.91,18,601,14,109,34,106
754221,6200324,375,11,30,21,7.95,15,239,22,93,30,114
755180,6201245,440,18,66,23,5.46,31,383,11,84,22,84
759011,6200787,455,15,41,16,9.29,20,440,19,132,26,101
759049,6201092,464,11,35,24,9.09,18,345,21,124,25,109
758452,6202076,416,12,35,21,7.29,12,558,20,93,18,82
758261,6201422,433,20,42,26,6.78,24,250,16,110,42,82
757220,6201307,470,11,26,20,5.68,13,298,15,94,19,81
756737,6201631,410,25,39,21,8.45,25,343,20,115,17,82
756591,6201238,453,14,40,22,6.63,20,350,12,88,18,77
756769,6199904,488,20,69,27,8.08,25,236,15,106,46,78
758338,6199796,475,14,46,22,7.58,25,391,13,115,25,92
758344,6200171,428,14,37,19,8.48,19,270,20,100,22,85
757569,6199472,417,12,31,23,4.28,16,337,15,72,25,73
756871,6196012,408,11,37,21,6.25,17,377,11,60,35,84
756979,6196532,426,20,44,22,3.17,25,386,18,51,20,56
756788,6196380,444,14,45,24,5.22,23,341,20,57,31,71
756617,6197231,425,29,42,18,3.73,17,262,20,59,17,52
756871,6198418,521,13,44,30,5.69,21,1358,12,57,34,75
755220,6198577,464,13,35,22,6.48,20,460,29,79,30,85
755226,6198837,425,11,51,26,7.55,27,352,13,119,27,108
754540,6198685,409,20,53,26,7.48,27,276,22,101,23,83
754534,6197701,415,18,45,22,5.29,25,362,11,67,30,73
754470,6197148,495,13,46,23,7.46,20,403,20,82,43,91
754534,6196666,671,12,41,21,9.58,21,529,13,91,34,106
754291,6196273,591,29,38,21,7.08,18,311,13,81,24,81
756121,6194132,406,29,41,21,5.52,11,417,11,55,40,67
756052,6193935,398,29,36,21,2.97,20,209,19,47,17,39
754966,6194545,434,18,54,24,3.93,29,644,22,56,20,50
756039,6194824,435,11,38,26,4.80,18,305,16,60,33,64
755753,6194799,451,17,42,28,6.06,22,358,12,62,42,63
755055,6195091,451,12,35,21,7.01,18,337,13,70,30,78
754642,6195681,396,12,38,24,4.83,15,303,18,60,21,61
755607,6196431,424,14,49,28,6.99,22,328,11,69,24,70
755429,6196628,351,18,49,34,5.76,32,220,13,74,17,66
752157,6198603,652,16,41,23,5.79,23,441,12,91,25,88
753008,6198641,531,21,53,25,5.65,22,576,20,76,24,81
752824,6197987,544,30,34,25,5.06,16,400,15,73,19,71
750925,6195206,664,16,46,30,6.06,23,916,16,77,26,90
751122,6194825,446,19,64,27,6.99,39,487,21,91,21,100
750494,6196527,810,11,41,23,5.78,29,1266,17,77,24,77
755536,6199575,376,30,52,23,8.12,23,479,12,94,20,98
755555,6199867,331,18,75,20,11.71,45,435,21,97,19,98
754958,6199638,501,12,46,24,7.48,27,310,13,108,22,94
753135,6199822,495,15,48,25,7.33,31,349,15,94,34,121
752735,6199244,369,11,43,24,6.43,19,488,14,87,49,104
751910,6199867,673,23,45,29,8.09,27,643,13,92,34,110
751776,6199086,731,30,48,23,5.29,25,502,11,88,23,67
750741,6199518,691,15,41,22,5.49,23,773,17,80,25,65
751040,6199384,752,11,46,23,5.00,23,895,15,66,20,66
749757,6198489,560,31,52,26,6.58,28,477,15,80,32,90
749897,6198590,643,12,30,18,5.59,12,403,14,82,29,63
751687,6200775,531,14,50,22,4.86,25,381,14,72,21,67
751687,6201289,508,19,51,24,7.21,21,419,19,86,25,77
752595,6201740,541,20,50,24,5.72,17,516,14,91,23,75
752576,6200864,681,15,52,29,10.59,31,565,15,91,30,103
753421,6201943,422,18,41,29,8.26,22,267,21,116,35,75
751065,6201213,526,20,46,26,7.72,23,298,11,101,22,80
750760,6201886,553,11,57,26,7.76,32,276,13,84,35,79
749281,6201816,633,13,50,25,6.96,19,445,19,71,25,85
750195,6201867,721,31,38,28,5.12,26,314,19,74,21,73
749871,6199619,577,16,47,30,4.96,22,384,18,69,33,68
749630,6199429,541,31,48,26,4.65,25,365,19,72,30,68
749554,6199619,548,17,75,31,5.91,42,364,21,83,31,67
750354,6201035,497,24,47,25,5.85,26,241,21,85,20,69
750595,6197740,795,16,53,23,5.25,20,907,13,79,20,66
750729,6198006,1023,31,55,24,8.48,39,1859,17,122,27,84
750170,6198019,718,12,45,20,5.92,23,684,21,84,29,74
748728,6196393,514,15,45,25,6.39,20,240,14,80,20,65
749535,6195549,701,12,43,24,6.21,25,338,13,85,34,88
749928,6194869,676,11,49,27,4.83,25,566,13,72,27,81
745915,6193129,577,18,46,26,7.95,22,439,16,75,21,72
745153,6192882,503,32,35,20,5.15,18,184,12,75,21,62
745630,6193529,544,20,48,24,6.08,29,237,24,80,31,74
745991,6193460,534,16,48,20,5.76,19,362,22,72,26,76
747776,6192552,750,14,45,25,5.60,26,347,17,73,37,77
747579,6192488,551,12,42,30,5.78,18,307,22,72,27,135
742816,6193320,511,17,45,29,5.16,23,229,11,72,17,67
743020,6192914,471,16,49,24,6.66,29,222,11,89,25,75
744042,6198952,477,11,48,29,6.19,31,340,15,73,21,73
744055,6198463,511,22,50,26,6.02,28,260,13,78,20,69
743788,6198775,425,12,42,26,5.06,21,369,12,64,32,81
743274,6198171,357,14,46,24,4.19,23,404,17,56,22,69
743661,6197955,459,32,42,24,6.58,15,314,12,80,24,76
743858,6196711,471,19,43,21,3.89,20,282,17,62,20,57
743667,6197416,484,14,37,23,5.59,20,250,15,75,25,70
743413,6197105,487,18,43,26,3.52,24,311,13,44,15,54
743572,6196349,581,16,39,18,5.73,16,259,22,90,22,69
743731,6194558,442,13,55,38,4.23,32,427,14,71,32,66
743572,6195009,498,23,57,31,3.86,30,215,16,64,18,52
743100,6200629,477,15,40,27,5.72,17,735,18,74,20,103
743186,6200946,424,17,55,22,6.05,23,1025,14,82,38,81
743037,6202333,328,18,41,32,6.56,25,452,15,97,33,73
745911,6197593,663,11,50,29,8.28,23,343,22,83,22,70
745508,6198155,442,19,71,22,7.02,38,402,15,88,24,89
745376,6198651,507,11,46,24,7.13,22,261,16,93,26,72
745144,6198704,488,16,62,38,5.96,37,364,13,70,16,63
746269,6200014,417,16,36,23,6.73,16,164,16,95,12,64
746163,6199630,490,11,43,22,5.38,21,317,22,80,23,68
746136,6199418,453,21,49,26,5.05,26,275,15,66,24,79
744827,6200338,437,27,44,36,7.84,30,337,14,85,19,82
746520,6201793,469,17,49,23,8.46,29,459,12,77,26,85
745620,6201522,436,18,39,27,7.31,24,348,22,83,19,90
745521,6201290,510,17,55,45,6.71,23,477,26,94,20,86
746143,6200774,466,22,69,32,7.46,37,268,12,85,20,82
746685,6200682,456,33,31,17,7.16,15,297,23,84,22,80
747505,6201204,524,14,52,33,7.59,25,300,23,82,26,92
747598,6201449,540,19,54,23,7.49,21,432,13,82,29,98
747466,6199193,490,34,52,21,6.63,25,598,13,82,35,84
747347,6198902,713,17,43,29,6.18,23,556,13,75,28,68
748193,6198955,594,21,66,31,5.46,40,238,15,71,20,68
747558,6197903,619,19,46,26,7.23,25,569,17,81,27,90
747102,6197639,446,16,50,28,6.55,29,441,11,82,32,72
745376,6196759,438,43,36,27,5.78,25,267,11,68,26,67
745759,6196799,601,16,47,26,5.76,21,392,15,74,18,64
745627,6196045,607,20,58,34,5.73,32,242,12,87,27,68
746004,6195516,396,20,58,31,6.39,35,336,13,79,35,71
745951,6195264,460,15,43,26,7.25,23,229,12,92,34,84
747916,6195657,604,14,60,27,5.45,28,410,23,69,25,66
748239,6195612,524,34,47,31,8.32,19,285,13,79,25,70
748633,6195003,378,17,44,39,7.64,27,285,23,85,28,87
748417,6194336,455,13,70,21,7.35,19,266,18,83,26,87
749192,6193930,572,15,39,16,6.79,22,252,15,81,29,98
750157,6192412,740,17,49,33,6.56,30,459,20,92,25,87
749954,6192469,724,20,43,31,6.28,25,488,13,82,26,92
749344,6193098,889,21,51,30,6.65,29,450,12,87,34,62
748938,6193256,526,25,52,35,4.72,25,394,11,66,22,71
748900,6192672,558,23,40,25,3.53,25,228,22,54,19,48
744036,6192647,528,20,47,39,5.19,22,484,11,60,16,53
744537,6193752,445,14,51,28,4.40,27,151,23,60,14,41
745083,6193822,476,13,46,37,5.06,24,395,14,68,19,72
745217,6194260,511,32,53,28,6.51,43,282,12,83,28,66
744385,6195123,479,20,37,22,4.52,16,307,19,64,21,62
744766,6194971,430,16,47,26,3.69,29,180,21,63,18,42
769127,6211291,319,11,49,24,7.21,26,473,11,95,17,82
768428,6210345,314,17,40,20,3.86,20,194,16,68,11,43
768784,6210060,337,22,43,28,8.38,23,283,23,81,10,76
769984,6210117,336,15,47,37,4.86,24,415,12,78,13,83
770574,6210110,299,22,48,28,6.82,27,378,23,89,14,75
770809,6209882,339,22,46,25,5.33,24,344,18,79,17,67
771768,6211069,397,14,22,26,5.50,24,455,14,96,20,64
771667,6210174,339,21,55,24,3.26,23,316,13,59,11,60
772568,6210409,372,17,54,37,4.49,35,487,15,77,27,47
772327,6210491,361,11,45,23,4.96,17,256,15,72,16,55
772740,6209577,344,14,37,26,4.38,21,340,24,66,14,52
773330,6209507,328,27,48,50,4.22,26,260,20,63,15,47
773153,6209679,365,35,59,27,5.03,18,263,14,68,16,60
774105,6211488,315,19,44,28,4.65,21,237,24,67,13,44
775432,6211310,357,15,52,37,4.19,30,388,27,69,17,59
774518,6211133,326,18,77,27,4.30,40,255,19,71,14,44
774778,6210758,354,19,55,29,4.45,34,289,24,75,15,48
770263,6208796,334,17,51,36,5.32,21,352,20,78,15,67
774664,6209158,346,11,50,22,3.99,22,302,14,65,14,48
774461,6208986,362,19,43,30,4.15,27,326,15,76,18,56
774448,6207678,340,14,57,33,3.47,24,251,16,81,14,47
773546,6208097,342,24,56,36,2.96,32,175,22,58,12,35
771540,6207723,381,16,52,26,4.86,25,415,12,79,18,58
771743,6207564,426,25,45,28,3.99,29,426,24,77,20,54
773616,6207539,336,12,48,26,3.99,29,226,16,67,15,52
773057,6207869,423,16,73,23,4.25,24,295,17,80,19,55
775400,6209520,387,19,45,38,4.69,22,194,19,75,17,65
775693,6210574,377,21,55,29,4.12,25,246,19,81,14,53
776061,6210326,282,19,53,36,2.82,33,193,11,53,14,42
776188,6209583,365,14,42,27,3.45,21,205,16,60,15,45
775781,6204502,356,36,49,25,3.89,25,226,15,61,16,46
774954,6204915,362,20,49,34,3.90,26,162,13,60,15,39
774779,6204171,322,17,59,23,3.12,23,240,24,47,13,49
773278,6205444,336,12,58,25,4.13,20,200,24,71,17,51
773512,6206182,271,13,75,31,7.12,34,526,25,74,14,69
773453,6204313,361,17,60,22,2.97,24,317,25,57,14,56
772634,6204381,331,17,53,32,5.09,27,354,22,76,19,70
772380,6205214,311,13,52,35,4.15,28,217,14,68,15,48
772952,6206436,274,19,57,35,3.62,29,169,14,61,11,37
772205,6206615,319,18,63,36,3.70,33,269,25,59,14,46
768294,6207835,447,11,50,29,5.53,20,418,17,78,19,81
769412,6206965,301,21,50,25,6.03,25,311,18,90,11,73
768993,6206984,278,18,31,27,5.59,14,438,14,77,11,84
768986,6207740,282,36,47,28,5.85,27,329,15,90,15,73
769564,6207537,308,14,70,28,6.23,41,497,16,97,33,93
768459,6208394,359,15,62,32,4.95,26,390,11,79,14,65
769603,6210815,286,19,55,29,6.89,28,485,24,93,13,89
770828,6210802,305,20,73,33,5.53,36,359,14,84,16,74
768094,6204293,362,18,53,27,5.89,28,482,12,79,10,77
768157,6205420,343,17,60,25,6.79,31,518,15,84,10,84
768223,6205989,338,22,52,25,6.02,20,466,19,72,11,79
770168,6206724,286,37,41,33,5.42,24,330,18,83,14,71
770568,6206692,312,22,48,28,4.96,27,389,13,75,13,70
771577,6206940,301,15,63,22,4.90,38,276,21,78,17,65
770828,6207734,331,21,47,27,5.05,27,330,15,79,28,65
770673,6205023,313,14,54,26,4.78,31,224,25,70,11,48
770531,6204817,308,16,58,26,4.72,27,223,13,75,15,46
769467,6204996,311,20,53,42,6.02,25,425,12,83,14,79
771404,6205055,304,13,50,33,8.05,21,308,25,92,15,64
769477,6203896,327,14,56,34,4.92,27,396,18,75,20,73
769077,6203770,374,28,55,28,5.53,35,388,16,92,10,76
768908,6203648,302,27,47,34,5.18,25,484,25,80,13,83
769391,6202993,356,12,44,21,5.49,15,296,21,78,19,63
770357,6202434,310,17,48,25,4.52,31,215,14,70,15,51
770102,6202722,306,11,63,36,4.53,27,399,14,65,13,57
768756,6202576,312,15,65,28,5.08,29,335,11,83,12,71
769044,6201944,334,16,52,28,5.00,35,438,17,78,12,84
774791,6207056,373,11,56,12,5.25,15,295,19,80,18,74
774912,6206123,358,15,43,31,5.29,23,428,24,77,18,77
771808,6203788,346,13,58,36,3.96,34,307,16,61,14,54
772057,6203544,339,20,64,42,4.18,36,152,22,68,13,44
772311,6202282,301,22,56,31,4.03,31,204,13,59,13,51
772797,6202741,354,15,55,29,4.75,31,260,26,71,13,60
773131,6202579,353,39,59,33,2.72,39,122,26,59,11,31
773704,6202811,318,13,59,25,3.97,26,216,26,78,13,44
774299,6202933,339,14,59,33,2.66,29,206,21,40,12,45
773671,6203888,352,15,50,35,3.26,30,149,26,59,13,39
769890,6201825,315,20,61,27,4.48,28,173,26,79,15,44
775229,6207977,351,29,62,38,3.87,37,255,18,73,13,47
775908,6207723,290,18,64,28,2.69,24,185,11,54,12,34
775985,6206453,348,16,56,31,3.67,26,248,27,67,13,52
769821,6200813,276,13,54,32,2.07,23,147,16,36,9,31
770185,6201319,331,14,43,25,3.35,19,226,27,60,14,44
770517,6199226,289,19,112,39,2.57,52,201,11,45,10,37
770702,6199020,303,38,49,24,2.73,16,261,16,53,14,37
770205,6199528,311,19,46,23,2.72,24,237,17,44,13,55
771782,6200741,392,29,80,39,4.66,47,215,24,74,17,55
771663,6200608,314,18,46,28,3.53,28,265,19,63,11,43
772576,6200578,302,12,54,26,3.57,29,239,14,54,11,48
773141,6200380,417,24,91,25,3.43,33,270,12,63,14,73
772316,6199232,282,17,48,32,3.12,27,208,14,58,11,33
773142,6199099,308,17,77,33,2.95,43,276,13,55,11,39
771838,6209494,302,19,51,36,4.28,28,242,15,69,14,53
772587,6208631,332,28,57,44,4.55,40,182,14,65,15,40
775023,6205750,285,23,56,32,3.43,37,257,14,60,10,38
775571,6203571,277,19,47,38,2.69,24,198,27,47,10,31
775423,6200179,312,19,61,31,2.80,25,96,27,45,11,30
774978,6200935,334,23,61,21,4.19,23,208,27,61,13,40
774713,6200634,367,11,49,34,2.87,24,152,14,44,12,34
773999,6199549,267,17,49,33,2.23,26,161,11,39,11,27
774534,6198607,337,17,52,31,2.96,23,173,28,47,15,44
774713,6199015,319,20,56,34,3.67,28,157,14,54,18,41
775634,6198602,317,27,62,40,2.00,44,159,27,35,11,26
775994,6200681,261,21,50,27,2.80,25,231,28,44,12,38
776031,6202359,280,24,72,33,2.60,26,171,12,45,10,31
776084,6202930,321,25,67,30,2.83,26,169,17,48,12,38
773846,6201031,319,13,62,44,3.67,34,130,21,55,11,31
772200,6199115,398,19,60,38,3.07,33,135,17,48,14,35
772533,6198623,315,17,120,24,2.22,31,195,13,34,11,32
774327,6197993,331,22,60,27,2.83,30,342,15,46,16,47
775211,6197686,312,14,49,25,2.20,22,191,14,38,10,24
774491,6196771,278,19,52,28,2.10,34,176,18,35,10,27
773682,6197046,354,17,71,30,3.10,29,206,17,46,17,52
772867,6197506,337,21,59,30,2.57,26,172,13,41,14,36
772412,6197586,352,13,59,30,2.79,33,194,19,45,13,35
772433,6197401,327,13,52,29,2.29,29,183,18,42,13,31
772962,6196602,351,18,65,27,2.92,31,216,19,48,14,39
773322,6196575,296,14,66,39,3.70,42,155,21,59,8,39
775565,6195908,334,26,76,28,3.45,28,158,17,50,15,48
775528,6195543,346,23,57,50,2.99,31,232,11,47,13,42
768342,6198507,318,19,62,48,3.89,30,214,15,56,7,43
769893,6197951,338,19,50,26,2.99,23,259,12,44,6,39
769496,6198115,374,22,71,31,3.25,30,211,16,51,7,42
769522,6199713,360,24,71,28,2.79,34,172,14,44,13,40
768607,6200015,350,20,65,31,3.75,26,160,30,57,13,57
768252,6197300,332,18,65,36,2.49,38,206,13,42,10,34
769776,6197088,335,22,56,32,3.40,28,154,28,51,8,38
769692,6196316,337,28,60,37,3.02,34,134,23,48,13,38
769237,6195813,298,22,57,32,2.80,29,177,14,44,11,35
769200,6195506,303,18,24,26,2.63,12,217,18,40,12,38
770491,6197268,316,23,61,36,2.73,29,170,12,46,13,37
770263,6196104,323,40,56,37,2.72,26,205,28,47,11,32
770337,6194977,396,18,73,29,3.02,36,185,29,53,13,37
771147,6194845,376,12,49,29,3.97,24,303,29,63,16,52
771046,6194257,368,26,62,39,4.12,38,283,15,59,14,59
772311,6194284,298,24,52,31,2.59,25,173,15,44,8,28
772073,6194935,352,24,55,49,2.86,28,194,24,47,11,41
768230,6202411,384,22,66,39,5.46,35,401,22,67,13,73
768419,6202004,361,15,72,35,4.86,23,225,29,68,16,52
768252,6200803,384,25,68,36,3.67,39,212,29,52,14,53
773941,6193702,363,41,75,34,2.73,22,196,15,45,12,35
774571,6191871,319,19,73,43,3.33,35,267,29,52,15,52
773428,6191903,386,20,54,20,3.07,26,194,29,51,13,40
772221,6191966,358,26,79,36,3.39,27,482,18,53,13,47
771131,6191929,350,22,65,34,4.29,32,294,12,62,15,67
771554,6192929,325,16,80,32,3.20,25,440,16,48,10,59
770480,6192813,369,28,69,47,4.48,44,243,17,65,16,59
770385,6193416,364,32,64,36,3.17,33,271,14,55,12,41
769718,6194194,380,25,70,42,2.96,36,308,12,53,12,39
770210,6192294,331,21,69,40,3.02,29,287,12,47,16,58
769041,6192172,300,18,87,46,2.19,38,267,19,40,10,36
769766,6192998,287,33,91,38,2.56,39,156,21,47,12,30
768369,6192088,413,31,154,29,3.35,77,210,21,63,15,47
767940,6191913,345,25,67,66,2.60,36,192,12,48,16,41
768512,6192395,368,27,78,49,2.89,39,230,30,50,17,45
768131,6192665,328,19,28,50,2.53,20,227,22,43,13,40
767972,6193940,332,26,74,49,2.90,36,164,23,52,11,39
768279,6193495,363,23,24,18,3.66,16,355,11,62,17,58
